id,fold,feature_type,feature_set,model_name,hyperparameters,fit_metric,tn,fp,fn,tp,balanced_accuracy,f1,precision,recall,specificity,detected_seizures,total_seizures,false_detected_rate,data_length_hours,norm_type,percent_detected
6b4b83e807d64131b23c9199ae3c9827,1,local,best_15_and_leastcorr,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9686880113495896,3856899,105344,922,5301,0.9126264938032538,0.0907177328267789,0.0479099823760676,0.8518399485778564,0.9734130390286512,608,608,2.634549470752679,5511.758333333333,per_file,100.0
4e64790791934a4e9f90c071673af17a,1,local,best_15_and_leastcorr,gaussian_nb,{'var_smoothing': 0.001},0.897974596641258,3912181,50062,1362,4861,0.8842498691804253,0.1589965001798973,0.088505726198496,0.7811345010445123,0.9873652373163384,608,608,1.460513961817992,5511.758333333333,per_file,100.0
afa94b2e0f654b5393dae794cd053b30,1,local,best_15_and_leastcorr,passive_aggressive,"{'C': 10, 'class_weight': 'balanced'}",0.925501250778779,3551507,410736,874,5349,0.877945386954764,0.0253322219801661,0.0128555463426944,0.8595532701269484,0.8963375037825797,608,608,12.935073653144563,5511.758333333333,per_file,100.0
4206758d9b5f4a0eb2809824577209bb,1,local,best_15_and_leastcorr,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': None, 'tol': 0.0001, 'validation_fraction': 0.2}",0.9529296634684964,3796038,166205,1078,5145,0.8924122267173409,0.0579479988511767,0.0300262620367668,0.8267716535433071,0.9580527998913748,608,608,4.810443128402763,5511.758333333333,per_file,100.0
becd92802bd84f4e95c80d4f22c4b9cd,2,local,best_5,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9384475898868104,3755831,206412,1227,4996,0.8753667413359092,0.0459125767928282,0.0236320290622871,0.8028282179013337,0.9479052647704848,607,608,6.113475584772554,5511.758333333333,per_file,99.83552631578947
75a9f976eb39421bb3207cc6ba27fa26,2,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8787999683494879,3927140,35103,1643,4580,0.8635600276394575,0.1995381867294035,0.1154146611899302,0.7359794311425357,0.9911406241363792,608,608,1.021452621743515,5511.758333333333,per_file,100.0
745b72fa388c43d0878bc99fc2e39bc2,2,local,best_5,passive_aggressive,"{'C': 10, 'class_weight': 'balanced'}",0.8530377226447059,3186797,775446,930,5293,0.8274227751369445,0.0134517295625455,0.0067794743185622,0.850554394986341,0.804291155287548,608,608,18.85079020457779,5511.758333333333,per_file,100.0
99ed100ffef249488769f2eff66c64f8,2,local,best_5,sgd,"{'alpha': 0.001, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.01, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': None, 'tol': 0.001, 'validation_fraction': 0.2}",0.9008389889209428,3848514,113729,1428,4795,0.8709127486804169,0.0768755962067224,0.0404559414127096,0.7705286839145107,0.9712968134463232,608,608,3.8933129325033904,5511.758333333333,per_file,100.0
4ed93e437a824843a5ab31b017d7784b,2,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 100}",0.9540431509695836,3887072,75171,1301,4922,0.8859825086674769,0.1140460633022846,0.0614535602362253,0.7909368471798168,0.9810281701551368,607,608,1.904473920149499,5511.758333333333,per_file,99.83552631578947
b76fa7cf9c1343de949b470c518a423e,2,local,best_10,gaussian_nb,{'var_smoothing': 0.001},0.8922290709728198,3918358,43885,1494,4729,0.8744235347828053,0.1724747889198898,0.0972765047105772,0.759922866784509,0.9889242027811016,608,608,1.317728311140879,5511.758333333333,per_file,100.0
