id,fold,feature_type,feature_set,model_name,hyperparameters,fit_metric,norm_type,post_processing,tn,fp,fn,tp,balanced_accuracy,f1,precision,recall,specificity,detected_seizures,total_seizures,false_detected_rate,data_length_hours
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,erosion_dilation_dilation=4_erosion=2,3923596,38647,1166,5057,0.9014383726515791,0.20257576061049132,0.11571023247300018,0.8126305640366382,0.99024618126652,604,608,0.7563829449464856,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,rolling_mean_6_0.5_0.2,3871318,90925,394,5829,0.9568693125123828,0.11320974586558163,0.06024557124253261,0.9366864856178692,0.9770521394068965,607,608,1.4024562639569043,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,rolling_mean_8_0.5_0.2,3876670,85573,182,6041,0.9745782726337489,0.12349111276919773,0.06593970353876046,0.9707536557930259,0.978402889474472,606,608,0.7275355263217576,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,rolling_mean_10_0.5_0.2,3896572,65671,221,6002,0.9739561920179658,0.15410290643935504,0.08374143680325925,0.9644865820343885,0.9834258020015431,602,608,0.46282871013636,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,none,3919248,42995,1498,4725,0.8742144565082581,0.17518491741282463,0.09901508801341156,0.7592800899887514,0.9891488230277649,608,608,5.68094573570745,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,dilation_erosion_dilation=2_erosion=1,3930988,31255,1422,4801,0.8818023201667354,0.2271103857707136,0.13315398269358775,0.7714928491081472,0.9921117912253237,608,608,1.2948680926080758,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,dilation_erosion_dilation=2_erosion=2,3935732,26511,1422,4801,0.8824009709814381,0.2558145730651392,0.15332779764946347,0.7714928491081472,0.993309092854729,608,608,0.8645154072127619,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,dilation_erosion_dilation=3_erosion=3,3933704,28539,1408,4815,0.8832699147221976,0.24332314222907248,0.14436049649217486,0.7737425678932991,0.9927972615510962,608,608,0.6740135861060672,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,erosion_dilation_dilation=2_erosion=1,3943436,18807,1496,4727,0.8774274622388225,0.31770675807373056,0.2008583326251381,0.7596014783866303,0.9952534460910146,608,608,0.9994995547397911,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,erosion_dilation_dilation=3_erosion=1,3942781,19462,1494,4729,0.8775055012346358,0.3109752087854277,0.1954859245173825,0.759922866784509,0.9950881356847624,608,608,0.9597663177661091,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,erosion_dilation_dilation=4_erosion=2,3951494,10749,1550,4673,0.874105567152634,0.4317856317856318,0.303008688886007,0.7509239916439017,0.9972871426613663,608,608,0.3499790599188704,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,rolling_mean_6_0.5_0.2,3931377,30866,331,5892,0.9695100940454645,0.2741676554756753,0.1602916371946243,0.9468102201510525,0.9922099679398765,608,608,0.5618896571118412,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,rolling_mean_8_0.5_0.2,3932304,29939,126,6097,0.9860982286326296,0.2885539175086964,0.1691919191919192,0.9797525309336333,0.9924439263316258,608,608,0.30171859857184113,5511.758333333333
a6ba39a2d49a4bf5a437ee8fa8bf679e,0,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8786907143768043,per_file,rolling_mean_10_0.5_0.2,3939343,22900,216,6007,0.9797552491838744,0.34198690577853685,0.20780433804960735,0.9652900530290857,0.9942204453386629,596,608,0.2028390819021758,5511.758333333333
4daa3f6dcc04405c9b83556641bd52cf,0,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8914157437225997,per_file,none,3861174,101069,1415,4808,0.8735548409301286,0.08578055307760928,0.04541118467655865,0.7726177085007231,0.974491973359534,608,608,12.407474323831929,5511.758333333333
4daa3f6dcc04405c9b83556641bd52cf,0,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8914157437225997,per_file,dilation_erosion_dilation=2_erosion=1,3876899,85344,1355,4868,0.8803600227290868,0.10095919531290506,0.053961778920764425,0.7822593604370882,0.9784606850210853,608,608,3.3199931661251476,5511.758333333333
4daa3f6dcc04405c9b83556641bd52cf,0,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8914157437225997,per_file,dilation_erosion_dilation=2_erosion=2,3887735,74508,1357,4866,0.8815667358294976,0.1136955734429945,0.061304709350668986,0.7819379720392093,0.981195499619786,608,608,2.3368223389087874,5511.758333333333
4daa3f6dcc04405c9b83556641bd52cf,0,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8914157437225997,per_file,dilation_erosion_dilation=3_erosion=3,3881361,80882,1340,4883,0.8821282941315884,0.10616602165499849,0.05693464700052469,0.7846697734211795,0.9795868148419973,608,608,1.8705464529619253,5511.758333333333
4daa3f6dcc04405c9b83556641bd52cf,0,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8914157437225997,per_file,erosion_dilation_dilation=2_erosion=1,3910345,51898,1424,4799,0.8790366620622505,0.1525429116338207,0.08464292643349736,0.7711714607102683,0.9869018634142328,608,608,2.556715869557658,5511.758333333333
4daa3f6dcc04405c9b83556641bd52cf,0,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8914157437225997,per_file,erosion_dilation_dilation=3_erosion=1,3908390,53853,1417,4806,0.8793523880606584,0.14814586480071515,0.0819311614585997,0.7722963201028443,0.9864084560184724,608,608,2.4380604495540594,5511.758333333333
4daa3f6dcc04405c9b83556641bd52cf,0,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8914157437225997,per_file,erosion_dilation_dilation=4_erosion=2,3930170,32073,1443,4780,0.8800118067173263,0.22193332714272448,0.12970450166879222,0.7681182709304194,0.9919053425042331,608,608,0.9877065848617577,5511.758333333333
